expert,context,item_i,item_j,l,m,u
E1,clusters,F,I,1.05,1.1666666666666667,1.2833333333333334
E1,clusters,F,T,1.5749999999999997,1.7499999999999998,1.9249999999999998
E1,clusters,F,S,2.1,2.3333333333333335,2.566666666666667
E1,clusters,I,T,1.3499999999999999,1.4999999999999998,1.65
E1,clusters,I,S,1.8,2.0,2.2
E1,clusters,T,S,1.2000000000000002,1.3333333333333335,1.466666666666667
E2,clusters,F,I,1.092,1.2133333333333334,1.334666666666667
E2,clusters,F,T,1.638,1.8199999999999998,2.002
E2,clusters,F,S,2.184,2.4266666666666667,2.669333333333334
E2,clusters,I,T,1.404,1.5599999999999998,1.716
E2,clusters,I,S,1.872,2.08,2.2880000000000003
E2,clusters,T,S,1.2480000000000002,1.386666666666667,1.5253333333333337
E3,clusters,F,I,1.0080000000000002,1.12,1.2320000000000002
E3,clusters,F,T,1.5119999999999998,1.6799999999999997,1.8479999999999999
E3,clusters,F,S,2.0160000000000005,2.24,2.4640000000000004
E3,clusters,I,T,1.2959999999999998,1.4399999999999997,1.5839999999999999
E3,clusters,I,S,1.728,1.92,2.112
E3,clusters,T,S,1.1520000000000001,1.28,1.4080000000000001
