item,mean_rank,median_rank,best_rank,worst_rank,mean_weight,std_weight,stable_top_3_probability,cluster_code,cluster,code,barrier
F1,1.0,1.0,1,1,0.299032174811877,0.0031538003176421847,1.0,F,Financial barriers,F1,High investment cost
F3,2.0,2.0,2,2,0.23022119739779023,0.0026929062121634154,1.0,F,Financial barriers,F3,Split incentives
F2,3.0,3.0,3,3,0.21982266365859757,0.002612974896457902,1.0,F,Financial barriers,F2,Payback period uncertainty
F4,4.0,4.0,4,4,0.13033249900652563,0.0019032178564912818,0.0,F,Financial barriers,F4,Lack of loan opportunities
F5,5.0,5.0,5,5,0.07024856402738672,0.0009523059491328461,0.0,F,Financial barriers,F5,Lack of government support
F6,6.0,6.0,6,6,0.05034290109782283,0.0007319308641918555,0.0,F,Financial barriers,F6,Lack of private investment incentives
I1,1.0,1.0,1,1,0.3986782748429396,0.004697683928457406,1.0,I,Institutional barriers,I1,Complex workflow and fragmented responsibilities
I2,2.0,2.0,2,2,0.379964072536888,0.004960093799138414,1.0,I,Institutional barriers,I2,Multi-stakeholder misalignment
I3,3.0,3.0,3,3,0.2213576526201724,0.004222006731915107,1.0,I,Institutional barriers,I3,Lack of energy audit information
T1,1.0,1.0,1,1,0.44863657962677456,0.004846664102233078,1.0,T,Technical barriers,T1,Lack of skilled professionals
T2,2.0,2.0,2,2,0.35006984803731733,0.004775822321595325,1.0,T,Technical barriers,T2,Difficulty selecting optimal renovation measures
T3,3.0,3.0,3,3,0.20129357233590808,0.003928351366882107,1.0,T,Technical barriers,T3,Lack of standards and guidelines
S1,1.0,1.0,1,1,0.39860355522674706,0.004699815664561284,1.0,S,Social barriers,S1,Lack of motivation and awareness
S2,2.0,2.0,2,2,0.3499043792097884,0.004804579204664568,1.0,S,Social barriers,S2,Lack of trust in benefits and contractors
S3,3.0,3.0,3,3,0.2514920655634645,0.004603625457442685,1.0,S,Social barriers,S3,Perceived disruption
