code,fuzzy_l,fuzzy_m,fuzzy_u,local_weight,rank,cluster_code,cluster,barrier,cluster_weight,global_weight,global_rank
I1,0.348849698575616,0.3998832865301332,0.45586745281814184,0.3991487093435519,1,I,Institutional barriers,Complex workflow and fragmented responsibilities,0.2999114691171721,0.11970927581544777,1
I2,0.3326376715584216,0.3800243261183456,0.43468200965587594,0.38017658410383054,2,I,Institutional barriers,Multi-stakeholder misalignment,0.2999114691171721,0.11401931786252795,2
F1,0.25305035274160886,0.2999146004175041,0.3535552087747576,0.2993762528590577,1,F,Financial barriers,High investment cost,0.3492160184943094,0.10454698305518574,3
T1,0.3925577337643424,0.4498799031875709,0.5129839438184959,0.44912384019495766,1,T,Technical barriers,Lack of skilled professionals,0.20033098645532205,0.08997342194685828,4
F3,0.19472557859409836,0.2300163615178325,0.27206538875652625,0.2301190594992916,2,F,Financial barriers,Split incentives,0.3492160184943094,0.0803612617379977,5
F2,0.18591443471298805,0.21997650841175545,0.2597546933527093,0.21982798038984977,3,F,Financial barriers,Payback period uncertainty,0.3492160184943094,0.07676745206538846,6
T2,0.3064562923537116,0.35003112439149525,0.4004688837794608,0.3502262907309451,2,T,Technical barriers,Difficulty selecting optimal renovation measures,0.20033098645532205,0.07016117830471864,7
I3,0.19329471986482422,0.22009238735152123,0.25259236842617955,0.22067470655261762,3,I,Institutional barriers,Lack of energy audit information,0.2999114691171721,0.06618287543919639,8
S1,0.3488108205714686,0.3998790167050957,0.4558166480824814,0.3991175778215825,1,S,Social barriers,Lack of motivation and awareness,0.1505415259331966,0.060083769192022386,9
S2,0.3063426581936315,0.35001866820871996,0.400320389699287,0.3501353061898413,2,S,Social barriers,Lack of trust in benefits and contractors,0.1505415259331966,0.05270990327690573,10
F4,0.11026641540446094,0.13003238113742596,0.15406129687942546,0.13023653747949726,4,F,Financial barriers,Lack of loan opportunities,0.3492160184943094,0.04548068508107493,11
T3,0.17576806388080787,0.2000889724209337,0.22968900330224068,0.20064986907409715,3,T,Technical barriers,Lack of standards and guidelines,0.20033098645532205,0.0401963862037451,12
S3,0.2196286112337618,0.25010231508618436,0.28700479311842875,0.25074711598857613,3,S,Social barriers,Perceived disruption,0.1505415259331966,0.03774785346426849,13
F5,0.05948434469268584,0.0700298946182098,0.08310994108009427,0.07021865929257337,5,F,Financial barriers,Lack of government support,0.3492160184943094,0.02452148062216091,14
F6,0.04256762139058832,0.050030253897272184,0.05947434613205986,0.050221510479730315,6,F,Financial barriers,Lack of private investment incentives,0.3492160184943094,0.017538155932501655,15
