expert,source,target,l,m,u
E1,I1,I2,0.45,0.5,0.55
E1,I1,F1,0.15000000000000002,0.2,0.25
E1,I1,F3,0.15000000000000002,0.2,0.25
E1,I1,I3,0.3,0.35,0.39999999999999997
E1,I1,T1,0.35000000000000003,0.4,0.45
E1,I1,S1,0.3,0.35,0.39999999999999997
E1,I2,I1,0.09999999999999999,0.15,0.2
E1,I2,F1,0.2,0.25,0.3
E1,I2,F3,0.2,0.25,0.3
E1,I2,I3,0.25,0.3,0.35
E1,I2,T1,0.3,0.35,0.39999999999999997
E1,I2,S1,0.3,0.35,0.39999999999999997
E1,F1,I1,0,0,0.05
E1,F1,I2,0.15000000000000002,0.2,0.25
E1,F1,F3,0.35000000000000003,0.4,0.45
E1,F1,I3,0.15000000000000002,0.2,0.25
E1,F1,T1,0.4,0.45,0.5
E1,F1,S1,0.4,0.45,0.5
E1,F3,I1,0,0,0.05
E1,F3,I2,0.09999999999999999,0.15,0.2
E1,F3,F1,0.2,0.25,0.3
E1,F3,I3,0.09999999999999999,0.15,0.2
E1,F3,T1,0.3,0.35,0.39999999999999997
E1,F3,S1,0.35000000000000003,0.4,0.45
E1,I3,I1,0,0,0.05
E1,I3,I2,0.09999999999999999,0.15,0.2
E1,I3,F1,0.05,0.1,0.15000000000000002
E1,I3,F3,0.05,0.1,0.15000000000000002
E1,I3,T1,0.25,0.3,0.35
E1,I3,S1,0.25,0.3,0.35
E1,T1,I1,0,0.05,0.1
E1,T1,I2,0,0.05,0.1
E1,T1,F1,0,0.05,0.1
E1,T1,F3,0.03,0.08,0.13
E1,T1,I3,0,0.05,0.1
E1,T1,S1,0.09999999999999999,0.15,0.2
E1,S1,I1,0,0.05,0.1
E1,S1,I2,0.009999999999999995,0.06,0.11
E1,S1,F1,0.03,0.08,0.13
E1,S1,F3,0.03,0.08,0.13
E1,S1,I3,0,0.05,0.1
E1,S1,T1,0.05,0.1,0.15000000000000002
E2,I1,I2,0.49000000000000005,0.54,0.5900000000000001
E2,I1,F1,0.16600000000000004,0.21600000000000003,0.266
E2,I1,F3,0.16600000000000004,0.21600000000000003,0.266
E2,I1,I3,0.328,0.378,0.428
E2,I1,T1,0.38200000000000006,0.43200000000000005,0.48200000000000004
E2,I1,S1,0.328,0.378,0.428
E2,I2,I1,0.112,0.162,0.21200000000000002
E2,I2,F1,0.22000000000000003,0.27,0.32
E2,I2,F3,0.22000000000000003,0.27,0.32
E2,I2,I3,0.274,0.324,0.374
E2,I2,T1,0.328,0.378,0.428
E2,I2,S1,0.328,0.378,0.428
E2,F1,I1,0,0,0.05
E2,F1,I2,0.16600000000000004,0.21600000000000003,0.266
E2,F1,F3,0.38200000000000006,0.43200000000000005,0.48200000000000004
E2,F1,I3,0.16600000000000004,0.21600000000000003,0.266
E2,F1,T1,0.43600000000000005,0.48600000000000004,0.536
E2,F1,S1,0.43600000000000005,0.48600000000000004,0.536
E2,F3,I1,0,0,0.05
E2,F3,I2,0.112,0.162,0.21200000000000002
E2,F3,F1,0.22000000000000003,0.27,0.32
E2,F3,I3,0.112,0.162,0.21200000000000002
E2,F3,T1,0.328,0.378,0.428
E2,F3,S1,0.38200000000000006,0.43200000000000005,0.48200000000000004
E2,I3,I1,0,0,0.05
E2,I3,I2,0.112,0.162,0.21200000000000002
E2,I3,F1,0.05800000000000001,0.10800000000000001,0.15800000000000003
E2,I3,F3,0.05800000000000001,0.10800000000000001,0.15800000000000003
E2,I3,T1,0.274,0.324,0.374
E2,I3,S1,0.274,0.324,0.374
E2,T1,I1,0.0040000000000000036,0.054000000000000006,0.10400000000000001
E2,T1,I2,0.0040000000000000036,0.054000000000000006,0.10400000000000001
E2,T1,F1,0.0040000000000000036,0.054000000000000006,0.10400000000000001
E2,T1,F3,0.0364,0.0864,0.13640000000000002
E2,T1,I3,0.0040000000000000036,0.054000000000000006,0.10400000000000001
E2,T1,S1,0.112,0.162,0.21200000000000002
E2,S1,I1,0.0040000000000000036,0.054000000000000006,0.10400000000000001
E2,S1,I2,0.014799999999999994,0.0648,0.1148
E2,S1,F1,0.0364,0.0864,0.13640000000000002
E2,S1,F3,0.0364,0.0864,0.13640000000000002
E2,S1,I3,0.0040000000000000036,0.054000000000000006,0.10400000000000001
E2,S1,T1,0.05800000000000001,0.10800000000000001,0.15800000000000003
E3,I1,I2,0.41000000000000003,0.46,0.51
E3,I1,F1,0.134,0.18400000000000002,0.23400000000000004
E3,I1,F3,0.134,0.18400000000000002,0.23400000000000004
E3,I1,I3,0.272,0.322,0.372
