expert,context,item_i,item_j,l,m,u
E1,F,F1,F2,1.2272727272727273,1.3636363636363635,1.5
E1,F,F1,F3,1.1739130434782608,1.3043478260869563,1.434782608695652
E1,F,F1,F4,2.0769230769230766,2.3076923076923075,2.5384615384615383
E1,F,F1,F5,3.857142857142857,4.285714285714286,4.714285714285714
E1,F,F1,F6,5.3999999999999995,5.999999999999999,6.6
E1,F,F2,F3,0.8608695652173912,0.9565217391304347,1.0521739130434782
E1,F,F2,F4,1.523076923076923,1.6923076923076923,1.8615384615384616
E1,F,F2,F5,2.8285714285714287,3.142857142857143,3.4571428571428573
E1,F,F2,F6,3.9599999999999995,4.3999999999999995,4.84
E1,F,F3,F4,1.5923076923076922,1.7692307692307692,1.9461538461538463
E1,F,F3,F5,2.9571428571428573,3.2857142857142856,3.6142857142857143
E1,F,F3,F6,4.14,4.6,5.06
E1,F,F4,F5,1.6714285714285713,1.857142857142857,2.0428571428571427
E1,F,F4,F6,2.3400000000000003,2.6,2.8600000000000003
E1,F,F5,F6,1.2600000000000002,1.4000000000000001,1.5400000000000003
E2,F,F1,F2,1.2763636363636364,1.4181818181818182,1.56
E2,F,F1,F3,1.2208695652173913,1.3565217391304347,1.4921739130434784
E2,F,F1,F4,2.16,2.4,2.64
E2,F,F1,F5,4.011428571428572,4.457142857142857,4.902857142857143
E2,F,F1,F6,5.616,6.239999999999999,6.864
E2,F,F2,F3,0.8953043478260869,0.9947826086956522,1.0942608695652174
E2,F,F2,F4,1.584,1.76,1.9360000000000002
E2,F,F2,F5,2.9417142857142857,3.2685714285714287,3.5954285714285716
E2,F,F2,F6,4.118399999999999,4.576,5.0336
E2,F,F3,F4,1.6560000000000001,1.84,2.0240000000000005
E2,F,F3,F5,3.0754285714285716,3.4171428571428573,3.7588571428571433
E2,F,F3,F6,4.3056,4.784,5.2624
E2,F,F4,F5,1.7382857142857142,1.9314285714285713,2.1245714285714286
E2,F,F4,F6,2.4336,2.704,2.9744000000000006
E2,F,F5,F6,1.3104000000000002,1.4560000000000002,1.6016000000000004
E3,F,F1,F2,1.178181818181818,1.3090909090909089,1.44
E3,F,F1,F3,1.1269565217391302,1.252173913043478,1.3773913043478259
E3,F,F1,F4,1.9938461538461536,2.215384615384615,2.436923076923077
E3,F,F1,F5,3.7028571428571424,4.114285714285714,4.525714285714286
E3,F,F1,F6,5.183999999999999,5.759999999999999,6.335999999999999
E3,F,F2,F3,0.8264347826086955,0.9182608695652172,1.010086956521739
E3,F,F2,F4,1.4621538461538461,1.6246153846153846,1.7870769230769232
E3,F,F2,F5,2.7154285714285713,3.017142857142857,3.318857142857143
E3,F,F2,F6,3.8015999999999996,4.223999999999999,4.6464
E3,F,F3,F4,1.5286153846153845,1.6984615384615382,1.8683076923076922
E3,F,F3,F5,2.8388571428571425,3.154285714285714,3.4697142857142858
E3,F,F3,F6,3.9743999999999997,4.4159999999999995,4.8576
E3,F,F4,F5,1.6045714285714285,1.7828571428571427,1.961142857142857
E3,F,F4,F6,2.2464,2.496,2.7456
E3,F,F5,F6,1.2096,1.344,1.4784000000000002
E1,I,I1,I2,0.9473684210526315,1.0526315789473684,1.1578947368421053
E1,I,I1,I3,1.6363636363636365,1.8181818181818183,2.0000000000000004
E1,I,I2,I3,1.5545454545454547,1.7272727272727273,1.9000000000000001
E2,I,I1,I2,0.985263157894737,1.0947368421052632,1.2042105263157896
E2,I,I1,I3,1.7018181818181821,1.890909090909091,2.0800000000000005
E2,I,I2,I3,1.6167272727272728,1.7963636363636364,1.9760000000000002
E3,I,I1,I2,0.9094736842105262,1.0105263157894735,1.111578947368421
E3,I,I1,I3,1.570909090909091,1.7454545454545456,1.9200000000000004
E3,I,I2,I3,1.4923636363636363,1.6581818181818182,1.824
E1,T,T1,T2,1.1571428571428573,1.2857142857142858,1.4142857142857146
E1,T,T1,T3,2.025,2.25,2.475
E1,T,T2,T3,1.5749999999999997,1.7499999999999998,1.9249999999999998
E2,T,T1,T2,1.2034285714285715,1.3371428571428572,1.470857142857143
E2,T,T1,T3,2.106,2.34,2.574
E2,T,T2,T3,1.638,1.8199999999999998,2.002
E3,T,T1,T2,1.110857142857143,1.2342857142857144,1.3577142857142859
E3,T,T1,T3,1.9440000000000002,2.16,2.3760000000000003
E3,T,T2,T3,1.5119999999999998,1.6799999999999997,1.8479999999999999
E1,S,S1,S2,1.0285714285714287,1.142857142857143,1.2571428571428573
E1,S,S1,S3,1.4400000000000002,1.6,1.7600000000000002
E1,S,S2,S3,1.26,1.4,1.54
E2,S,S1,S2,1.069714285714286,1.1885714285714288,1.3074285714285718
E2,S,S1,S3,1.4976000000000003,1.6640000000000001,1.8304000000000002
E2,S,S2,S3,1.3104,1.456,1.6016000000000001
E3,S,S1,S2,0.9874285714285715,1.0971428571428572,1.206857142857143
E3,S,S1,S3,1.3824,1.536,1.6896000000000002
E3,S,S2,S3,1.2096,1.3439999999999999,1.4784
